CodEmpresa,DescEmpresa
90,CLARO PLANES
60,MOVISTAR
324,YANBAL
49653,PROVISALI
43599,SOCIEDAD FINANCIERA VISIONFUND  
2265,DEPRATI
37027,ECONOMATO LATACUNGA
33710,AZZORTI
40018,DISTRIBUIDORA DICELTECSA SA  
45513,PAGOSEGURO  
19483,FE Y ALEGRIA CENTRO
8410,CODEPRET SA FULLCARGA 
44886,SERVITELCONET CIA LTDA   
39682,CODGREC SA- 
18027,"ETATEX, ETAFASHION"
46860,AGUAS MACHALA-EP  
18028,"TIENDEC, ALAMCENES RM"
853,PUNTONET SA 
1016,FUNDACION ESPOIR
2245,MUNICIPIO GUAYAQUIL CEP
1165,INSOTEC
2287,ANT CITACIONES FACTURAS
37790,AGUA POTABLE DE STO DOMINGO
36422,IPLANET EC  
22686,SOLUCIONES AVANZADAS
54444,INTERCOMMERCE SA                                                                                    
2169,COMANDATO   
46931,ESCUELA FISCOMISIONAL LA INMACULADA  
48417,ALFANET SANTO DOMINGO
45884,CABINAS TELEFONICAS NCIC 
49759,VISIONMAGICA
10453,ARTEFAC BARAT TROPI RSHACK AKT   
372,NESTLE ECUADOR- 
43903,TELEALFACOM CIA LTDA ALFANET EL CARMEN
41208,SOLUMOVECSA 
62969,GESTIONA GTX
,FCPC CCV CTE                                                                                        
25198,COMUNICACION Y TELEFONIA REDPRIMCEL CIA LTDA  
32686,FE Y ALEGRIA REGIONAL SANTO DOMINGO- 
48416,TELEALFACOM CIA LTDA ALFANET QUEVEDO  
46845,FUNDACION DE APOYO COMUNITARIO Y SOCIAL FACES 
61065,SIMANTEC
720,LEONISA
65829,EL OTRO ES CRISTO
264,ORIFLAME
13986,DINADEC S A-
8036,SPPEDYCOM CIA LTDA   
50496,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE IBARRA EMAPA I   
48418,ALFANET CHONE   
11776,BROADNET SA 
2268,HERBALIFE
16951,PERUZZI SA  
25138,ALMACENES LA GANGA   
9393,PAGUE YA
21552,ASOCIACION FE Y ALEGRIA REGIONAL MANABI ESMERALDAS
6359,CODESARROLLO-   
53137,PORTOAGUAS EP   
53936,HY CITE ENTERPRISES ECUADOR CIA LTDA 
53920,JULIO CESAR PEREZ TITO   
